tractID,Unnamed: 0,nodeID,dki_fa,dki_md,dki_mk,dki_awf,subjectID
ARC_L,1349.5,49.5,0.5197450316830888,0.0008605962348408449,1.1007419004819183,0.4213634422187028,100206
ARC_R,1249.5,49.5,0.4544479196555733,0.000865410627790871,1.074294983108559,0.38534930234785525,100206
ATR_L,149.5,49.5,0.4468004827309756,0.000877664153324362,1.0787954576709036,0.371061682183631,100206
ATR_R,49.5,49.5,0.43711691968622196,0.000918296121165967,1.0765803277657546,0.3698936455099593,100206
AntFrontal,1649.5,49.5,0.5703087698963247,0.00089479341533249,1.1235817465239308,0.4384028648868904,100206
CGC_L,349.5,49.5,0.4986879396881986,0.000895541416839679,1.0620744718036905,0.39778092538213733,100206
CGC_R,249.5,49.5,0.4902650979912026,0.000893298340434361,1.0884802268351768,0.4009812259869206,100206
CST_L,549.5,49.5,0.5567169379603297,0.000883146137146882,1.0914688242938404,0.41051558028668084,100206
CST_R,449.5,49.5,0.5543223658377271,0.000860194790862791,1.1254679706516482,0.42014676328599093,100206
IFO_L,749.5,49.5,0.5607861997727912,0.000915330113619625,1.0613940122158578,0.40061261515929275,100206
IFO_R,649.5,49.5,0.5390144056543498,0.000935763291358503,1.0409993059883675,0.3916105796197963,100206
ILF_L,949.5,49.5,0.5147949604335623,0.000934078428055898,1.002808956379463,0.37327595679290915,100206
ILF_R,849.5,49.5,0.5153711912372014,0.0009331767740158061,1.005489758096273,0.37485442994622437,100206
Motor,1749.5,49.5,0.5736726207363683,0.000905748362780873,1.078981783319647,0.42515169361461036,100206
Occipital,1849.5,49.5,0.6545989911984473,0.000881609273930827,1.101557323228459,0.453986800821371,100206
Orbital,1949.5,49.5,0.560683152783414,0.000925804760279476,1.0845569842044238,0.4035343251337966,100206
PostParietal,2049.5,49.5,0.580765109558318,0.000889813333348176,1.0538420503379555,0.42352209636604066,100206
SLF_L,1149.5,49.5,0.5259120441343021,0.000876012932949764,1.1074960297958978,0.4258325484715046,100206
SLF_R,1049.5,49.5,0.5273740314462139,0.000851361011603122,1.1107246965958126,0.42498745403356475,100206
SupFrontal,2149.5,49.5,0.5753437107645152,0.0009047839874734729,1.1122344095653973,0.42953418170910523,100206
SupParietal,2249.5,49.5,0.591183316960474,0.0008797211472605119,1.0261421047358343,0.4281210662577991,100206
Temporal,2349.5,49.5,0.5904784532637539,0.000965795814322416,1.056521104474786,0.4201589736930995,100206
UNC_L,1549.5,49.5,0.46372771436955307,0.000955540005083256,0.995954624331401,0.34105857252758326,100206
UNC_R,1449.5,49.5,0.47288914263259685,0.000941505185346357,0.9886007575932397,0.34556564564984504,100206
ARC_L,1349.5,49.5,0.5342780087301628,0.000846447198481665,1.034378707018683,0.4094828130679736,100307
ARC_R,1249.5,49.5,0.4366138637711877,0.0009176367646243811,0.9961356479386789,0.3639708784026697,100307
ATR_L,149.5,49.5,0.4461747974256282,0.000929932849467805,1.0061163577539103,0.3548222964338019,100307
ATR_R,49.5,49.5,0.4571758237383424,0.000925145769827877,1.0108550821158948,0.35878406787690614,100307
AntFrontal,1649.5,49.5,0.5543676427843081,0.000945921250247873,1.0507468326178555,0.39989741751830904,100307
CGC_L,349.5,49.5,0.5436884333853931,0.000895208398323923,0.9938336680923492,0.39330836629915267,100307
